#, TP, FP, FN, LesionNum
1, 3, 51, 0, 1
2, 13, 44, 0, 3
3, 2, 39, 1, 3
4, 5, 163, 1, 4
5, 0, 114, 2, 2
6, 0, 58, 2, 2
7, 5, 53, 6, 10
8, 12, 63, 4, 12
9, 7, 176, 2, 3
10, 0, 0, 1, 1
11, 14, 73, 1, 6
12, 6, 46, 1, 4
13, 1, 85, 2, 3
14, 0, 33, 1, 1
15, 0, 27, 1, 1
16, 6, 38, 2, 4
17, 12, 30, 2, 7
18, 0, 153, 0, 0
19, 2, 66, 0, 2
20, 4, 62, 2, 5
21, 2, 60, 1, 2
22, 1, 33, 0, 1
23, 4, 90, 0, 2
24, 0, 20, 1, 1
25, 1, 54, 3, 4
26, 1, 150, 2, 3
27, 14, 30, 1, 10
28, 2, 39, 2, 3
29, 14, 113, 1, 4
30, 21, 66, 6, 15
31, 11, 43, 1, 7
32, 0, 0, 1, 1
33, 10, 151, 6, 15
34, 2, 95, 1, 2
35, 3, 39, 1, 3
36, 5, 36, 0, 2
37, 5, 90, 1, 2
38, 5, 38, 2, 6
39, 2, 11, 2, 3
40, 2, 166, 0, 1
41, 11, 65, 2, 7
42, 7, 80, 3, 7
43, 0, 30, 0, 0
44, 6, 33, 2, 4
45, 8, 28, 0, 2
46, 0, 23, 3, 3
47, 1, 107, 3, 4
48, 1, 23, 0, 1
49, 0, 25, 2, 2
50, 0, 14, 2, 2
51, 0, 46, 2, 2
52, 4, 46, 0, 1
53, 2, 61, 0, 1
54, 0, 37, 2, 2
55, 0, 44, 1, 1
56, 0, 57, 2, 2
57, 2, 202, 0, 2
58, 6, 116, 0, 2
59, 9, 75, 1, 5
60, 2, 38, 0, 2
61, 0, 120, 1, 1
62, 2, 48, 0, 2
63, 2, 32, 0, 1
64, 15, 40, 7, 15
65, 0, 0, 2, 2
66, 2, 37, 5, 6
67, 1, 64, 2, 3
68, 11, 39, 0, 4
69, 0, 33, 0, 0
70, 1, 49, 4, 5
71, 3, 54, 1, 3
72, 2, 69, 2, 3
73, 0, 40, 7, 7
74, 0, 82, 1, 1
75, 2, 35, 0, 2
76, 1, 21, 1, 2
77, 3, 154, 1, 2
78, 2, 24, 2, 4
79, 0, 34, 2, 2
80, 1, 17, 0, 1
81, 1, 58, 0, 1
82, 0, 190, 2, 2
83, 3, 33, 1, 3
84, 10, 38, 3, 6
85, 4, 26, 0, 1
86, 2, 159, 0, 1
87, 0, 55, 0, 0
88, 2, 33, 0, 1
89, 1, 23, 0, 1
90, 0, 24, 1, 1
91, 9, 36, 6, 12
92, 6, 35, 4, 8
93, 0, 40, 3, 3
94, 4, 92, 0, 2
95, 1, 17, 0, 1
96, 5, 41, 3, 6
97, 3, 127, 4, 6
98, 6, 40, 0, 4
99, 5, 42, 6, 8
100, 0, 18, 0, 0
101, 6, 29, 0, 2
102, 2, 53, 0, 1
103, 0, 26, 1, 1
104, 10, 66, 0, 3
105, 5, 20, 5, 8
106, 1, 120, 0, 1
107, 0, 65, 0, 0
108, 0, 67, 1, 1
109, 1, 30, 1, 2
110, 3, 35, 5, 8
111, 0, 44, 1, 1
112, 3, 115, 1, 2
113, 0, 15, 1, 1
114, 0, 29, 0, 0
115, 1, 21, 2, 3
116, 2, 32, 0, 1
117, 3, 18, 0, 1
118, 0, 20, 1, 1
119, 2, 115, 0, 1
120, 0, 36, 0, 0
121, 1, 42, 1, 2
122, 3, 62, 2, 4
123, 0, 31, 1, 1
124, 5, 63, 0, 1
125, 0, 14, 1, 1
126, 0, 16, 0, 0
127, 0, 45, 0, 0
128, 0, 18, 0, 0
129, 1, 20, 0, 1
130, 0, 21, 1, 1
131, 10, 7, 1, 7
132, 2, 73, 2, 4
133, 0, 57, 1, 1
134, 1, 31, 1, 2
135, 1, 24, 1, 2
136, 1, 19, 0, 1
137, 1, 35, 3, 4
138, 5, 38, 1, 2
139, 3, 40, 1, 3
140, 0, 28, 0, 0
141, 4, 20, 3, 5
142, 4, 140, 0, 1
143, 1, 29, 1, 2
144, 0, 32, 3, 3
145, 2, 41, 0, 1
146, 0, 35, 1, 1
147, 0, 12, 1, 1
148, 0, 13, 1, 1
149, 1, 57, 2, 3
150, 1, 57, 0, 1
151, 0, 155, 1, 1
152, 0, 99, 0, 0
153, 1, 30, 2, 3
154, 1, 38, 1, 2
155, 0, 34, 2, 2
156, 1, 44, 0, 1
157, 1, 29, 1, 2
158, 0, 46, 1, 1
159, 3, 119, 3, 4
160, 0, 152, 0, 0
161, 0, 33, 1, 1
162, 0, 16, 1, 1
163, 1, 42, 1, 2
164, 0, 18, 1, 1
165, 0, 69, 1, 1
166, 0, 13, 1, 1
167, 0, 55, 1, 1
168, 2, 56, 1, 2
169, 3, 30, 0, 1
170, 1, 43, 0, 1
171, 0, 15, 2, 2
172, 2, 35, 0, 2
173, 0, 33, 0, 0
174, 1, 27, 0, 1
175, 2, 25, 0, 2
176, 0, 48, 1, 1
177, 1, 27, 2, 3
178, 1, 19, 1, 2
179, 0, 35, 2, 2
180, 0, 17, 1, 1
181, 1, 27, 2, 3
182, 1, 48, 2, 3
183, 0, 50, 0, 0
184, 0, 45, 1, 1
185, 0, 55, 0, 0
186, 1, 25, 1, 2
187, 0, 66, 0, 0
188, 0, 1, 5, 5
189, 0, 54, 0, 0
190, 0, 34, 0, 0
191, 0, 42, 1, 1
192, 0, 52, 1, 1
193, 0, 72, 0, 0
194, 2, 156, 1, 3
195, 0, 91, 0, 0
196, 0, 41, 0, 0
197, 0, 35, 0, 0
198, 0, 36, 0, 0
199, 0, 32, 0, 0
200, 3, 58, 0, 1
201, 0, 89, 0, 0
202, 0, 41, 2, 2
203, 0, 30, 0, 0
204, 1, 74, 1, 2
205, 0, 31, 0, 0
206, 7, 26, 4, 7
207, 1, 85, 1, 2
208, 0, 48, 2, 2
209, 2, 81, 0, 1
210, 0, 31, 1, 1
211, 0, 41, 0, 0
212, 0, 35, 0, 0
213, 0, 49, 0, 0
214, 0, 272, 0, 0
215, 0, 17, 1, 1
216, 0, 37, 2, 2
217, 0, 30, 0, 0
218, 5, 175, 1, 4
219, 0, 29, 0, 0
220, 0, 25, 0, 0
221, 0, 87, 0, 0
222, 0, 0, 1, 1
223, 0, 23, 2, 2
224, 1, 28, 0, 1
225, 0, 71, 0, 0
226, 3, 285, 2, 4
227, 0, 41, 1, 1
228, 2, 47, 1, 3
229, 0, 34, 0, 0
230, 1, 32, 0, 1
231, 2, 48, 0, 1
232, 0, 86, 1, 1
233, 2, 51, 1, 3
234, 0, 23, 1, 1
235, 0, 46, 0, 0
236, 0, 48, 1, 1
237, 0, 34, 0, 0
238, 9, 178, 2, 6
239, 0, 124, 2, 2
240, 1, 68, 1, 2
241, 0, 49, 0, 0
242, 0, 30, 0, 0
243, 0, 32, 1, 1
244, 0, 49, 0, 0
245, 0, 51, 1, 1
246, 0, 28, 0, 0
247, 1, 39, 1, 2
248, 5, 137, 4, 8
250, 1, 201, 1, 2
251, 0, 22, 0, 0
252, 0, 45, 5, 5
253, 0, 32, 0, 0
254, 0, 125, 1, 1
255, 1, 98, 1, 2
256, 3, 188, 0, 1
257, 0, 51, 0, 0
258, 3, 29, 1, 2
259, 0, 41, 0, 0
261, 0, 16, 0, 0
262, 0, 34, 1, 1
263, 1, 32, 0, 1
264, 0, 90, 2, 2
265, 6, 60, 0, 2
266, 0, 41, 0, 0
267, 0, 46, 0, 0
268, 0, 67, 4, 4
269, 0, 50, 0, 0
270, 0, 148, 0, 0
271, 1, 41, 0, 1
272, 4, 55, 5, 8
273, 0, 36, 0, 0
274, 3, 59, 2, 4
275, 0, 42, 0, 0
276, 6, 54, 0, 3
277, 13, 41, 0, 2
278, 0, 52, 0, 0
279, 2, 124, 2, 3
280, 1, 68, 1, 2
281, 0, 99, 3, 3
282, 0, 40, 0, 0
283, 0, 55, 1, 1
284, 1, 28, 1, 2
285, 2, 49, 0, 2
286, 1, 117, 0, 1
287, 1, 42, 0, 1
288, 1, 18, 1, 2
289, 0, 46, 2, 2
290, 0, 38, 0, 0
291, 0, 50, 0, 0
292, 0, 51, 0, 0
293, 0, 92, 1, 1
294, 3, 37, 0, 2
295, 0, 39, 1, 1
296, 0, 33, 0, 0
297, 0, 61, 0, 0
298, 0, 39, 0, 0
299, 0, 71, 0, 0
300, 2, 49, 0, 1
301, 0, 69, 0, 0
302, 0, 97, 1, 1
303, 8, 61, 0, 4
304, 5, 50, 5, 9
305, 0, 43, 0, 0
306, 0, 154, 0, 0
307, 0, 44, 0, 0
308, 0, 39, 0, 0
309, 0, 33, 0, 0
310, 2, 161, 1, 3
311, 0, 30, 0, 0
312, 0, 123, 0, 0
313, 5, 198, 1, 3
314, 0, 28, 1, 1
315, 0, 149, 3, 3
316, 0, 38, 0, 0
317, 0, 54, 0, 0
318, 0, 128, 1, 1
319, 9, 23, 1, 4
320, 4, 96, 0, 1
